epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,13126,0.99908,1.6023,1.23155,1.26842,0.7945,0.7409,0.81228,0.60483,0.76872,0.68874,0.75116,0.4959,0.92425,1.41762,0.82136,1.15692,0.004951,0.004951,0.004951
53,13655.2,0.99548,1.62187,1.2273,1.26676,0.80079,0.73745,0.81322,0.60628,0.76625,0.69361,0.75216,0.49731,0.92331,1.4176,0.81854,1.15599,0.004852,0.004852,0.004852
54,14181.6,0.99203,1.60196,1.21762,1.2666,0.80158,0.73946,0.81442,0.60754,0.76823,0.69526,0.75242,0.49816,0.92274,1.41661,0.81569,1.15525,0.004753,0.004753,0.004753
55,14710.2,0.99947,1.61502,1.2298,1.27017,0.80823,0.73924,0.81484,0.60816,0.77284,0.69673,0.75315,0.49884,0.92206,1.41632,0.81408,1.15507,0.004654,0.004654,0.004654
56,15238.6,0.99572,1.62441,1.22138,1.26336,0.80404,0.74227,0.81569,0.60944,0.7702,0.69913,0.75362,0.4998,0.92095,1.41379,0.81292,1.15413,0.004555,0.004555,0.004555
57,15766.9,0.99627,1.59105,1.21455,1.26647,0.80906,0.73818,0.81588,0.61065,0.77353,0.70121,0.75605,0.50115,0.9198,1.41308,0.81192,1.15309,0.004456,0.004456,0.004456
58,16296.6,0.98963,1.59309,1.21152,1.26467,0.81074,0.73797,0.81733,0.61126,0.77624,0.70084,0.75782,0.50192,0.91789,1.41143,0.80989,1.15188,0.004357,0.004357,0.004357
59,16824.3,0.98449,1.6078,1.19603,1.25785,0.81062,0.73791,0.81823,0.61127,0.77696,0.70171,0.75834,0.50284,0.91703,1.4084,0.80841,1.15116,0.004258,0.004258,0.004258
60,17346.5,0.98854,1.59019,1.19746,1.2599,0.8077,0.74171,0.81907,0.61235,0.77418,0.7047,0.75969,0.50375,0.91608,1.40525,0.80748,1.15016,0.004159,0.004159,0.004159
61,17861.2,0.97717,1.57603,1.18914,1.2535,0.80906,0.74302,0.81975,0.61326,0.77642,0.70564,0.76088,0.50445,0.91548,1.40429,0.80537,1.1496,0.00406,0.00406,0.00406
62,18373.4,0.97513,1.56952,1.17737,1.25291,0.80758,0.74405,0.82001,0.61379,0.77614,0.70564,0.76148,0.50519,0.91453,1.40379,0.80358,1.14861,0.003961,0.003961,0.003961
63,18886.9,0.97445,1.56834,1.17767,1.25089,0.80937,0.74524,0.82024,0.61431,0.77747,0.70688,0.76241,0.50558,0.91388,1.40268,0.80195,1.14793,0.003862,0.003862,0.003862
64,19400.3,0.97664,1.55745,1.16704,1.25292,0.80832,0.74628,0.82061,0.6153,0.77811,0.70593,0.76209,0.50607,0.91347,1.40251,0.80117,1.1474,0.003763,0.003763,0.003763
65,20471,0.96558,1.56748,1.16001,1.24594,0.81012,0.74648,0.82107,0.61601,0.77622,0.70847,0.76265,0.50644,0.91249,1.40076,0.79998,1.14649,0.003664,0.003664,0.003664
66,20983,0.96849,1.55451,1.16298,1.24334,0.80968,0.74759,0.82156,0.61652,0.77813,0.70799,0.76396,0.50684,0.91207,1.4001,0.79868,1.14588,0.003565,0.003565,0.003565
67,21494.5,0.96381,1.55239,1.14865,1.24492,0.80705,0.74936,0.82185,0.61641,0.77739,0.70798,0.7631,0.50734,0.91141,1.39867,0.79754,1.14527,0.003466,0.003466,0.003466
68,22007.5,0.96259,1.54874,1.15124,1.2422,0.81105,0.74574,0.82195,0.61703,0.77497,0.70787,0.76272,0.50719,0.9113,1.39793,0.79649,1.14507,0.003367,0.003367,0.003367
69,22518.9,0.96057,1.54541,1.13865,1.23963,0.80853,0.74829,0.82219,0.61697,0.77244,0.70978,0.76262,0.50719,0.91119,1.39663,0.7955,1.14484,0.003268,0.003268,0.003268
70,23031.2,0.95559,1.52096,1.12544,1.23898,0.80956,0.74838,0.82264,0.61771,0.77514,0.70992,0.7629,0.50753,0.91067,1.3957,0.79483,1.14436,0.003169,0.003169,0.003169
